meter_id,facility,read_date,period_start,period_end,quantity,unit,cost,currency,tariff_code,grid_region
MTR-DE-001,Frankfurt Main Plant,2024-01-31,2024-01-01,2024-01-31,485000,kWh,58200,EUR,HT-Industrial,DE
MTR-DE-001,Frankfurt Main Plant,2024-02-29,2024-02-01,2024-02-29,460000,kWh,55200,EUR,HT-Industrial,DE
MTR-DE-001,Frankfurt Main Plant,2024-03-31,2024-03-01,2024-03-31,510000,kWh,61200,EUR,HT-Industrial,DE
MTR-US-001,Chicago Distribution Center,2024-01-27,2023-12-28,2024-01-27,125000,kWh,15625,USD,ComEd-C2,US
MTR-US-001,Chicago Distribution Center,2024-02-26,2024-01-28,2024-02-26,118000,kWh,14750,USD,ComEd-C2,US
MTR-US-001,Chicago Distribution Center,2024-03-26,2024-02-27,2024-03-26,131000,kWh,16375,USD,ComEd-C2,US
MTR-SG-001,Singapore Asia Hub,2024-01-31,2024-01-01,2024-01-31,87500,kWh,19250,SGD,SP-Gen-A1,SG
MTR-SG-001,Singapore Asia Hub,2024-02-29,2024-02-01,2024-02-29,82000,kWh,18040,SGD,SP-Gen-A1,SG
MTR-IN-001,Mumbai Manufacturing,2024-01-31,2024-01-01,2024-01-31,320000,kWh,25600,INR,MSEDCL-HT,IN
MTR-IN-001,Mumbai Manufacturing,2024-02-29,2024-02-01,2024-02-29,298000,kWh,23840,INR,MSEDCL-HT,IN
MTR-IN-002,Mumbai Admin Block,2024-01-31,2024-01-01,2024-01-31,12500,kWh,1000,INR,MSEDCL-LT,IN
MTR-IN-002,Mumbai Admin Block,2024-02-29,2024-02-01,2024-02-29,11800,kWh,944,INR,MSEDCL-LT,IN
MTR-UK-001,London Sales Office,2024-01-31,2024-01-01,2024-01-31,32000,kWh,9600,GBP,BG-Business,UK
MTR-UK-001,London Sales Office,2024-02-29,2024-02-01,2024-02-29,29500,kWh,8850,GBP,BG-Business,UK
MTR-DE-002,Frankfurt Warehouse,2024-01-31,2024-01-01,2024-01-31,95000,MWh,11400,EUR,HT-Industrial,DE
MTR-US-002,Chicago Office Solar,2024-01-31,2024-01-01,2024-01-31,18000,kWh,1800,USD,Solar-Green,US
MTR-XX-999,UNKNOWN FACILITY,2024-01-31,2024-01-01,2024-01-31,-500,kWh,0,EUR,UNKNOWN,DEFAULT
MTR-IN-003,Mumbai Manufacturing,2024-01-31,2024-01-01,2024-01-31,8500,MMBTU,68000,INR,MSEDCL-HT,IN
